price,brand,model,year,title_status,color,state,country,condition,km
30300,maserati,ghibli,2017,clean vehicle,black,florida, usa,2 days left,59579.37614
26012,ford,door,2017,clean vehicle,black,michigan, usa,20 hours left,31945.399
48500,gmc,1500,2019,clean vehicle,black,pennsylvania, usa,1 days left,25390.55718
24900,mercedes-benz,glc,2018,clean vehicle,white,california, usa,1 days left,54213.83658
29400,mercedes-benz,e-class,2017,clean vehicle,blue,florida, usa,2 days left,60448.41974
25503,ford,f-150,2017,clean vehicle,black,michigan, usa,9 minutes,30009.362979999998
26000,gmc,limited,2019,clean vehicle,black,pennsylvania, usa,1 days left,26826.08846
11200,jeep,mpv,2019,clean vehicle,gray,michigan, usa,2 days left,20768.5327
28000,mercedes-benz,gle,2018,clean vehicle,white,california, usa,1 days left,65628.8852
84900,mercedes-benz,sl-class,2017,clean vehicle,silver,florida, usa,2 days left,40719.52068
10840,lexus,mpv,2017,clean vehicle,black,california, usa,20 hours left,58895.40664
11050,ram,door,2017,clean vehicle,white,new jersey, usa,17 hours left,48957.73214
25001,ford,door,2017,clean vehicle,gray,michigan, usa,2 days left,44696.19982
11100,jeep,mpv,2019,clean vehicle,white,michigan, usa,2 days left,18071.27886
29502,ford,f-150,2017,clean vehicle,red,michigan, usa,2 days left,22616.05502
10910,jeep,mpv,2019,clean vehicle,red,michigan, usa,2 days left,19719.24302
16000,mazda,cx-3,2016,clean vehicle,gray,florida, usa,2 days left,76850.81302
24811,ford,door,2017,clean vehicle,red,michigan, usa,21 hours left,45808.25376
17900,mercedes-benz,door,2015,clean vehicle,gray,florida, usa,2 days left,80100.07048
26400,ford,door,2017,clean vehicle,red,michigan, usa,19 hours left,58410.9953
32500,gmc,2500hd,2018,clean vehicle,blue,pennsylvania, usa,1 days left,23908.35504
18000,mercedes-benz,door,2015,clean vehicle,black,florida, usa,2 days left,132627.31874
13200,chevrolet,door,2017,clean vehicle,black,pennsylvania, usa,2 days left,81123.61072
27705,ford,f-150,2019,clean vehicle,gray,michigan, usa,19 hours left,25153.9842
28714,ford,f-150,2019,clean vehicle,white,michigan, usa,19 hours left,23795.70124
11200,chevrolet,door,2017,clean vehicle,white,pennsylvania, usa,2 days left,137300.8421
27502,ford,f-150,2019,clean vehicle,gray,michigan, usa,1 minutes,25984.40364
11900,chevrolet,door,2017,clean vehicle,blue,pennsylvania, usa,2 days left,122649.41074
29314,ford,f-150,2019,clean vehicle,gray,michigan, usa,19 hours left,24566.5751
11200,chevrolet,door,2017,clean vehicle,silver,pennsylvania, usa,2 days left,128690.8731
27002,ford,f-150,2019,clean vehicle,gray,michigan, usa,1 minutes,25844.391059999998
13200,chevrolet,door,2017,clean vehicle,black,pennsylvania, usa,2 days left,100968.38226
28214,ford,f-150,2019,clean vehicle,white,michigan, usa,19 hours left,25055.81446
12700,chevrolet,door,2017,clean vehicle,black,pennsylvania, usa,2 days left,94841.62488
29900,ford,f-150,2019,clean vehicle,white,michigan, usa,2 days left,28144.13792
12700,chevrolet,door,2017,clean vehicle,black,pennsylvania, usa,2 days left,97740.04622
27202,ford,f-150,2019,clean vehicle,red,michigan, usa,1 minutes,29853.257
13500,chevrolet,impala,2018,clean vehicle,white,new jersey, usa,7 hours left,85607.23196
27705,ford,f-150,2019,clean vehicle,silver,michigan, usa,19 hours left,28395.19496
14700,chevrolet,van,2016,clean vehicle,white,pennsylvania, usa,2 days left,55448.20036
29900,ford,f-150,2019,clean vehicle,white,michigan, usa,2 days left,28459.56856
27705,ford,f-150,2019,clean vehicle,silver,michigan, usa,19 hours left,26715.044
25511,ford,f-150,2019,clean vehicle,silver,michigan, usa,19 hours left,28647.86134
29900,ford,f-150,2019,clean vehicle,silver,michigan, usa,2 days left,27614.66506
27502,ford,f-150,2019,clean vehicle,red,michigan, usa,1 minutes,28940.76122
27402,ford,f-150,2019,clean vehicle,white,michigan, usa,1 minutes,28728.32834
26602,ford,f-150,2019,clean vehicle,white,michigan, usa,1 minutes,29248.14516
10200,chevrolet,sonic,2019,clean vehicle,black,illinois, usa,2 days left,12317.88836
29900,ford,f-150,2019,clean vehicle,black,michigan, usa,2 days left,30189.60906
14000,chevrolet,colorado,2019,clean vehicle,white,illinois, usa,2 days left,18610.40776
28500,ford,f-150,2019,clean vehicle,silver,michigan, usa,19 hours left,30418.13534
29809,ford,f-150,2019,clean vehicle,silver,michigan, usa,19 hours left,34048.80638
36900,chevrolet,corvette,2015,clean vehicle,black,florida, usa,16 hours left,48178.81158
26902,ford,f-150,2019,clean vehicle,white,michigan, usa,1 minutes,38566.22376
10950,chevrolet,door,2015,clean vehicle,red,florida, usa,22 hours left,94152.82736
27402,ford,f-150,2019,clean vehicle,white,michigan, usa,1 minutes,32434.63836
16900,acura,mdx,2014,clean vehicle,silver,florida, usa,1 days left,102193.09
25600,ford,f-150,2019,clean vehicle,silver,michigan, usa,19 hours left,37487.96596
29700,bmw,series,2016,clean vehicle,no_color,texas, usa,1 days left,39095.69662
27702,ford,f-150,2019,clean vehicle,red,michigan, usa,1 minutes,32738.80362
